name,energy_consumption_btu,world_share,pc_yearly_btu,non_renewable,oil_consump,gas_consump,coal_consump,re_nuclear,co2_emissions_tons_2016,co2_emiss_one_year_change,population_2016,co2_emiss_per_capita,country_share_of_world_co2,coal_reserves,coal_production,coal_consumption,coal_imports,coal_exports,coal_net_imports,coal_year,coal_units,coal_net_exports,coal_yearly_deficit/surplus,gas_reserves,gas_production,gas_consumption,gas_imports,gas_exports,gas_net_imports,gas_year,gas_units,gas_net_exports,gas_yearly_deficit/surplus,oil_reserves,oil_production,oil_consumption,oil_imports,oil_exports,oil_net_imports,oil_year,oil_units,oil_net_exports,oil_daily_deficit/surplus
El Salvador,1.32277E+11,0.02%,20707,69%,69%,0%,0%,31%,6853766,0.45%,6356143,1.08,0.02%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,52000,1,0,1,2016,Barrels,,-52000
DR Congo,1.32066E+11,0.02%,1622,33%,32%,0%,0%,67%,6564773,3.77%,78789127,0.08,0.02%,97003280,9011,12538,17882,0,17882,2016,Tons ,,-3527,35000,9182,353,0,0,,2015,Million Cubic Ft,0,8829,180000000,20000,21000,0,16263,,2016,Barrels,16263,-1000
Senegal,1.30707E+11,0.02%,8477,96%,83%,1%,11%,4%,8247295,3.69%,14993519,0.55,0.02%,0,0,448640,660467,0,660467,2016,Tons ,,-448640,0,2190,2190,0,0,,2015,Million Cubic Ft,0,0,0,-32,49000,19390,911,18479,2016,Barrels,,-49032
Yemen,1.38497E+11,0.02%,4976,99%,79%,14%,6%,1%,25647990,1.62%,27168208,0.94,0.07%,0,0,133380,153994,0,153994,2016,Tons ,,-133380,16900000,444969,28605,0,66745,,2015,Million Cubic Ft,66745,416364,3000000000,21960,60000,0,8875,,2016,Barrels,8875,-38040
Zimbabwe,1.58454E+11,0.03%,11130,73%,32%,0%,41%,27%,10062628,-4.17%,14030331,0.72,0.03%,553359620,2976237,3388555,173,47903,,2016,Tons ,47729,-412318,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,819,24000,0,0,,2016,Barrels,0,-23181
Nepal,1.61222E+11,0.03%,5834,68%,64%,0%,4%,32%,7833787,10.10%,27263433,0.29,0.02%,1102310,23149,283303,207403,0,207403,2016,Tons ,,-260154,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,43000,0,0,,2016,Barrels,0,-43000
Lithuania,1.5084E+11,0.03%,53011,65%,0%,60%,4%,35%,13685264,2.66%,2889557,4.74,0.04%,0,0,272313,287844,41643,246201,2016,Tons ,,-272313,0,0,88251,88251,0,88251,2015,Million Cubic Ft,,-88251,12000000,10336,61612,182514,1012,181502,2016,Barrels,,-51276
Cambodia,1.68698E+11,0.03%,10537,82%,59%,0%,23%,18%,6496958,7.68%,15766292,0.41,0.02%,0,0,1625907,1665854,0,1665854,2016,Tons ,,-1625907,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,48000,0,0,,2016,Barrels,0,-48000
Cameroon,1.47801E+11,0.03%,6016,72%,49%,23%,0%,28%,9454331,2.21%,23926551,0.4,0.03%,0,0,0,0,0,,2016,Tons ,,0,4770000,90406,24014,0,0,,2015,Million Cubic Ft,0,66392,200000000,92469,40000,40950,81166,,2016,Barrels,40216,52469
Armenia,1.48537E+11,0.03%,50441,70%,11%,59%,0%,30%,4597845,3.06%,2936143,1.57,0.01%,179676530,0,1323,1323,0,1323,2016,Tons ,,-1323,0,0,72396,72396,0,72396,2015,Million Cubic Ft,,-72396,0,0,6000,0,0,,2016,Barrels,0,-6000
Zambia,1.77978E+11,0.03%,10560,38%,35%,0%,3%,62%,4230584,3.67%,16363458,0.26,0.01%,49603950,138946,183693,46205,1821,44384,2016,Tons ,,-44747,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,170,22000,10250,0,10250,2016,Barrels,,-21830
Brunei ,1.76865E+11,0.03%,416670,100%,18%,82%,0%,0%,7672127,3.54%,419800,18.28,0.02%,0,0,0,0,0,,2016,Tons ,,0,13800000,439672,122896,0,300884,,2015,Million Cubic Ft,300884,316776,1100000000,121034,16000,498,110245,,2016,Barrels,109747,105034
Honduras,1.714E+11,0.03%,18178,71%,70%,0%,0%,29%,9320279,2.25%,9270795,1.01,0.03%,0,0,180779,178535,0,178535,2016,Tons ,,-180779,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,58000,0,0,,2016,Barrels,0,-58000
Afghanistan,1.44694E+11,0.02%,3986,83%,47%,4%,32%,17%,9900004,7.13%,35383032,0.28,0.03%,72752460,1871722,1871722,0,0,,2016,Tons ,0,0,1750000,6675,5163,0,0,,2015,Million Cubic Ft,0,1512,0,0,35000,0,0,,2016,Barrels,0,-35000
Côte d'Ivoire,1.78774E+11,0.03%,7316,95%,50%,46%,0%,5%,10056492,1.16%,23822714,0.42,0.03%,0,0,0,0,0,,2016,Tons ,,0,1000000,75645,72855,0,0,,2015,Million Cubic Ft,0,2790,100000000,50357,51000,50024,35965,14059,2016,Barrels,,-643
Luxembourg,1.83446E+11,0.03%,309921,86%,68%,17%,1%,14%,10144632,3.45%,579264,17.51,0.03%,0,0,89198,89198,0,89198,2016,Tons ,,-89198,0,0,31113,30901,0,30901,2015,Million Cubic Ft,,-31113,0,0,56194,0,0,,2016,Barrels,0,-56194
Iceland,2.21449E+11,0.04%,662243,21%,20%,0%,2%,79%,3923884,1.62%,332206,11.81,0.01%,0,0,136686,136686,0,136686,2016,Tons ,,-136686,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,19090,0,0,,2016,Barrels,0,-19090
Mongolia,2.15494E+11,0.04%,69206,96%,26%,0%,70%,4%,18574260,18.09%,3056364,6.08,0.05%,2777821200,39157027,8823724,875,28439598,,2016,Tons ,28438723,30333304,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,23426,21000,71,21740,,2016,Barrels,21669,2426
Tajikistan,2.25262E+11,0.04%,25367,32%,16%,0%,16%,68%,6049757,3.37%,8663579,0.7,0.02%,413366250,1500244,1511267,590,0,590,2016,Tons ,,-11023,200000,706,706,0,0,,2015,Million Cubic Ft,0,0,12000000,173,21000,6,69,,2016,Barrels,63,-20827
Gibraltar,1.92833E+11,0.03%,5717297,100%,100%,0%,0%,0%,572708,3.53%,33737,16.98,0.00%,0,0,0,0,0,,2016,Tons ,,0,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,75000,0,0,,2016,Barrels,0,-75000
Costa Rica,2.14062E+11,0.04%,43245,52%,52%,0%,0%,48%,8328890,2.16%,4899345,1.7,0.02%,0,0,110,110,0,110,2016,Tons ,,-110,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,1571,55000,0,0,,2016,Barrels,0,-53429
Latvia,1.87516E+11,0.03%,96108,74%,49%,24%,1%,26%,8157157,3.41%,1974266,4.13,0.02%,0,0,67861,77853,9991,67861,2016,Tons ,,-67861,0,0,46792,46121,0,46121,2015,Million Cubic Ft,,-46792,0,1059,37694,0,0,,2016,Barrels,0,-36635
Uruguay,2.19406E+11,0.04%,63843,46%,45%,1%,0%,54%,6508013,1.91%,3424129,1.9,0.02%,0,0,437,437,0,437,2016,Tons ,,-437,0,0,1989,1989,0,1989,2015,Million Cubic Ft,,-1989,0,2217,53000,35198,0,35198,2016,Barrels,,-50783
Kyrgyzstan,2.41995E+11,0.04%,39096,48%,29%,3%,16%,52%,6941784,2.53%,6074330,1.14,0.02%,1070343010,2040376,2447128,853433,18049,835384,2016,Tons ,,-406752,200000,1059,6357,5650,0,5650,2015,Million Cubic Ft,,-5297,40000000,972,40000,227,145,82,2016,Barrels,,-39028
Georgia,2.46271E+11,0.04%,61434,63%,25%,34%,3%,37%,8610414,2.94%,4015450,2.14,0.02%,221564310,326835,419462,114100,0,114100,2016,Tons ,,-92627,300000,353,84756,84403,0,84403,2015,Million Cubic Ft,,-84403,35000000,394,33000,853,2301,,2016,Barrels,1448,-32606
Puerto Rico,2.64498E+11,0.05%,83605,99%,74%,18%,7%,1%,712758,1.71%,3283125,0.22,0.00%,0,0,1565871,1762572,0,1762572,2016,Tons ,,-1565871,0,0,55373,55373,0,55373,2015,Million Cubic Ft,,-55373,0,0,96746,0,0,,2016,Barrels,0,-96746
Bosnia and Herzegovina,2.51754E+11,0.04%,75116,92%,28%,3%,61%,8%,25674120,0.86%,3386266,7.58,0.07%,2495629840,7167188,9466163,1505973,203927,1302045,2016,Tons ,,-2298976,0,0,7063,7063,0,7063,2015,Million Cubic Ft,,-7063,0,248,35000,18234,0,18234,2016,Barrels,,-34752
Ghana,2.73724E+11,0.05%,9399,81%,64%,17%,0%,19%,14469986,3.54%,28481945,0.51,0.04%,0,0,17,17,0,17,2016,Tons ,,-17,800000,45203,44990,19736,0,19736,2015,Million Cubic Ft,,214,660000000,99114,88000,18636,73654,,2016,Barrels,55018,11114
Tanzania,2.87391E+11,0.05%,5258,92%,49%,40%,3%,8%,9731560,2.50%,53049230,0.18,0.03%,296521390,304238,327861,84992,53522,31470,2016,Tons ,,-23623,230000,39200,38847,0,0,,2015,Million Cubic Ft,0,353,0,0,71999,0,0,,2016,Barrels,0,-71999
Kenya,3.22258E+11,0.06%,6417,77%,73%,0%,3%,23%,16334919,3.60%,49051534,0.33,0.05%,0,0,537359,537359,0,537359,2016,Tons ,,-537359,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,824,114000,2164,0,2164,2016,Barrels,,-113176
Guatemala,3.16468E+11,0.05%,18709,75%,59%,0%,16%,25%,18539316,2.42%,16583076,1.12,0.05%,0,0,1751571,2416836,0,2416836,2016,Tons ,,-1751571,0,0,0,0,0,,2015,Million Cubic Ft,,0,83070000,12033,93000,2,9096,,2016,Barrels,9094,-80967
Slovenia,2.83913E+11,0.05%,136734,65%,38%,11%,16%,35%,14722601,2.35%,2074210,7.1,0.04%,408957010,3691636,4143583,427692,2182,425510,2016,Tons ,,-451947,0,106,28817,28711,0,28711,2015,Million Cubic Ft,,-28711,0,5,52298,0,0,,2016,Barrels,0,-52293
Mozambique,2.87959E+11,0.05%,10051,55%,30%,25%,0%,45%,5859171,2.22%,27829938,0.21,0.02%,1975339520,6818890,12125,4057,8325796,,2016,Tons ,8321738,6806764,100000000,201296,66922,0,134197,,2015,Million Cubic Ft,134197,134374,0,281,40000,0,461,,2016,Barrels,461,-39719
Croatia,3.50685E+11,0.06%,83839,74%,43%,27%,4%,26%,19408194,3.02%,4208602,4.61,0.05%,0,0,1179627,1200571,0,1200571,2016,Tons ,,-1179627,880000,64591,72537,37858,12961,24897,2015,Million Cubic Ft,,-7946,71000000,18528,69000,50268,0,50268,2016,Barrels,,-50472
Dominican Republic,3.40463E+11,0.06%,32385,92%,72%,13%,8%,8%,23466740,2.88%,10397741,2.26,0.07%,0,0,1215242,1237894,0,1237894,2016,Tons ,,-1215242,0,0,39129,39129,0,39129,2015,Million Cubic Ft,,-39129,0,-116,133000,18204,0,18204,2016,Barrels,,-133116
Ethiopia,3.23535E+11,0.06%,3041,61%,57%,0%,4%,39%,10438855,4.03%,103603462,0.1,0.03%,0,31416,539255,629357,0,629357,2016,Tons ,,-507839,880000,0,0,0,0,,2015,Million Cubic Ft,,0,428000,354,74000,0,0,,2016,Barrels,0,-73646
Bolivia,3.43354E+11,0.06%,30676,93%,59%,34%,0%,7%,19463728,2.03%,11031814,1.76,0.05%,1102310,0,0,0,0,,2016,Tons ,,0,10450000,741615,95351,0,621544,,2015,Million Cubic Ft,621544,646265,211450000,77635,90000,0,4260,,2016,Barrels,4260,-12365
Lebanon,3.75787E+11,0.06%,55106,99%,98%,0%,1%,1%,21863288,1.95%,6714281,3.26,0.06%,0,0,135976,135976,0,135976,2016,Tons ,,-135976,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,153000,2,0,2,2016,Barrels,,-153000
North Korea,3.30339E+11,0.06%,12990,67%,12%,0%,55%,33%,58708734,19.49%,25307665,2.32,0.16%,661386000,34237749,10707839,1731596,24825709,,2016,Tons ,23094114,23529909,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,137,18000,10684,0,10684,2016,Barrels,,-17863
Sudan,3.68304E+11,0.06%,9024,77%,77%,0%,0%,23%,13294106,4.18%,39847439,0.33,0.04%,0,0,0,0,0,,2016,Tons ,,0,3000000,0,0,0,0,,2015,Million Cubic Ft,,0,5000000000,107853,140000,0,22315,,2016,Barrels,22315,-32147
Angola,3.62803E+11,0.06%,12168,80%,72%,8%,0%,20%,30566933,3.13%,28842489,1.06,0.09%,0,0,0,0,0,,2016,Tons ,,0,9711000,372255,27298,0,0,,2015,Million Cubic Ft,0,344957,8423000000,1796743,133000,0,1681354,,2016,Barrels,1681354,1663743
Syria,3.94608E+11,0.07%,23082,99%,63%,35%,0%,1%,38054696,1.78%,17465575,2.18,0.11%,0,0,5526,5526,0,5526,2016,Tons ,,-5526,8500000,218953,151855,0,0,,2015,Million Cubic Ft,0,67099,2500000000,34602,140000,0,0,,2016,Barrels,0,-105398
Sri Lanka,3.8342E+11,0.07%,18147,89%,73%,0%,16%,11%,18454691,8.55%,21021171,0.88,0.05%,0,0,2295009,2580799,0,2580799,2016,Tons ,,-2295009,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,-320,127000,31960,0,31960,2016,Barrels,,-127320
Panama,4.39309E+11,0.08%,106972,84%,82%,0%,2%,16%,11599764,2.37%,4037078,2.87,0.03%,0,0,330693,336706,0,336706,2016,Tons ,,-330693,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,446,155000,0,0,,2016,Barrels,0,-154554
Paraguay,5.18687E+11,0.09%,75533,23%,23%,0%,0%,77%,5998469,1.97%,6777872,0.89,0.02%,0,0,1680,1680,0,1680,2016,Tons ,,-1680,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,4174,51000,0,0,,2016,Barrels,0,-46826
Jordan,4.31069E+11,0.07%,44050,97%,60%,36%,1%,3%,22772370,1.83%,9554286,2.38,0.06%,0,0,242508,224734,0,224734,2016,Tons ,,-242508,213000,5333,102308,96975,0,96975,2015,Million Cubic Ft,,-96975,1000000,403,114000,59567,0,59567,2016,Barrels,,-113597
Tunisia,4.08467E+11,0.07%,35726,99%,51%,48%,0%,1%,29395965,0.82%,11303945,2.6,0.08%,0,0,2259,2259,0,2259,2016,Tons ,,-2259,2300000,87405,160507,104886,0,104886,2015,Million Cubic Ft,,-73102,425000000,41634,97000,17769,34478,,2016,Barrels,16709,-55366
Myanmar,5.18785E+11,0.09%,9718,79%,45%,32%,1%,21%,16701776,5.61%,53045201,0.31,0.05%,6613860,606271,536770,381094,40015,341079,2016,Tons ,,69501,10000000,648030,126781,0,491232,,2015,Million Cubic Ft,491232,521249,50000000,15634,123000,0,2702,,2016,Barrels,2702,-107366
Cuba,4.01493E+11,0.07%,35407,98%,88%,10%,0%,2%,30389116,1.65%,11335104,2.68,0.08%,0,0,2066,2066,0,2066,2016,Tons ,,-2066,2500000,48382,44144,0,0,,2015,Million Cubic Ft,0,4238,124000000,49737,153000,105396,0,105396,2016,Barrels,,-103263
Laos,4.05306E+11,0.07%,58292,76%,9%,0%,66%,24%,4531276,7.92%,6845846,0.66,0.01%,554461930,5330918,5247934,8732,24000,,2016,Tons ,15268,82984,0,0,0,0,0,,2015,Million Cubic Ft,,0,0,0,18000,0,0,,2016,Barrels,0,-18000
Ireland,6.3861E+11,0.11%,134352,87%,50%,31%,7%,13%,39086565,5.09%,4695779,8.32,0.11%,15432340,0,2474686,2107617,11326,2096291,2016,Tons ,,-2474686,350000,4662,153762,149524,0,149524,2015,Million Cubic Ft,,-149100,0,283,152404,64377,0,64377,2016,Barrels,,-152121
Libya,5.71901E+11,0.10%,86906,100%,71%,29%,0%,0%,52696075,1.52%,6492162,8.12,0.15%,0,0,0,0,0,,2016,Tons ,,0,53183000,591526,158564,0,251090,,2015,Million Cubic Ft,251090,432962,48363000000,499397,223000,0,238501,,2016,Barrels,238501,276397
Azerbaijan,5.94083E+11,0.10%,60342,98%,33%,64%,0%,2%,33614235,-0.41%,9736043,3.45,0.09%,0,0,178,178,0,178,2016,Tons ,,-178,35000000,963746,384227,7063,258506,,2015,Million Cubic Ft,251443,579519,7000000000,843546,96000,3948,658577,,2016,Barrels,654629,747546
Ecuador,7.14684E+11,0.12%,42578,74%,71%,2%,0%,26%,40065690,-4.85%,16491116,2.43,0.11%,26455440,0,13555,14113,0,14113,2016,Tons ,,-13555,212000,59223,17552,0,0,,2015,Million Cubic Ft,0,41672,8273000000,548379,259000,0,414675,,2016,Barrels,414675,289379
Morocco,8.19434E+11,0.14%,23030,92%,70%,6%,17%,8%,57694464,0.54%,35126283,1.64,0.16%,15432340,0,7153992,7410681,0,7410681,2016,Tons ,,-7153992,51000,4026,42978,39800,0,39800,2015,Million Cubic Ft,,-38952,684000,160,275000,67713,0,67713,2016,Barrels,,-274840
Bulgaria,7.74428E+11,0.13%,109037,74%,25%,16%,33%,26%,50872910,-6.00%,7151953,7.11,0.14%,2608065460,34426244,35234237,867423,46411,821012,2016,Tons ,,-807993,200000,3685,111291,108044,0,108044,2015,Million Cubic Ft,,-107606,15000000,5339,97000,125642,0,125642,2016,Barrels,,-91661
Slovakia,7.26429E+11,0.12%,133341,66%,24%,24%,18%,34%,36817242,1.74%,5442003,6.77,0.10%,148811850,2035967,6708667,4526820,0,4526820,2016,Tons ,,-4672700,500000,3496,163826,155633,0,155633,2015,Million Cubic Ft,,-160330,9000000,12541,81587,117296,141,117155,2016,Barrels,,-69046
Denmark,7.37324E+11,0.13%,128627,70%,44%,17%,8%,30%,38007645,5.23%,5711349,6.65,0.11%,0,0,3985953,3181267,23149,3158118,2016,Tons ,,-3985953,1210000,166440,112867,23237,77410,,2015,Million Cubic Ft,54173,53573,551000000,145674,158194,77224,78070,,2016,Barrels,846,-12520
New Zealand,9.02498E+11,0.16%,191938,64%,38%,21%,5%,36%,33276202,-0.14%,4659265,7.14,0.09%,8349998250,3159906,2765590,499657,1308589,,2016,Tons ,808931,394316,1361000,181448,178694,0,0,,2015,Million Cubic Ft,0,2755,64100000,43907,166913,108214,31474,76740,2016,Barrels,,-123006
Trinidad and Tobago,9.03829E+11,0.16%,653028,100%,13%,87%,0%,0%,34974263,-5.92%,1377560,25.39,0.10%,0,0,198,198,0,198,2016,Tons ,,-198,12240000,1481288,841804,0,546818,,2015,Million Cubic Ft,546818,639484,728300000,97726,57000,54579,23196,31383,2016,Barrels,,40726
Serbia,6.42181E+11,0.11%,72730,83%,19%,15%,50%,17%,41168059,2.27%,8853963,4.65,0.12%,8282757340,42372796,43189608,567654,72752,494901,2016,Tons ,,-816812,1700000,22248,76987,55798,0,55798,2015,Million Cubic Ft,,-54738,77500000,23150,74000,44283,0,44283,2016,Barrels,,-50850
Bahrain,7.19865E+11,0.12%,481813,100%,18%,82%,0%,0%,24458384,2.50%,1425792,17.15,0.07%,0,0,0,0,0,,2016,Tons ,,0,3250000,727489,547383,0,0,,2015,Million Cubic Ft,0,180107,124560000,63886,62000,212417,154691,57726,2016,Barrels,,1886
Israel,1.05481E+12,0.18%,127951,100%,46%,34%,19%,0%,65201588,-0.38%,8108985,8.04,0.18%,0,0,10167720,9694828,0,9694828,2016,Tons ,,-10167720,7027000,333020,305828,5650,0,5650,2015,Million Cubic Ft,,27193,13953000,5977,236249,217657,0,217657,2016,Barrels,,-230272
Hungary,1.04225E+12,0.18%,107119,78%,33%,36%,10%,22%,51018899,2.16%,9752975,5.23,0.14%,3206619790,10158889,11663542,1721808,232587,1489221,2016,Tons ,,-1504653,304000,62578,332950,239789,19247,220542,2015,Million Cubic Ft,,-270372,28600000,36018,155544,121061,1148,119913,2016,Barrels,,-119525
Belarus,9.61313E+11,0.17%,101724,98%,29%,67%,1%,2%,62655669,4.90%,9445643,6.63,0.18%,0,0,681228,781246,40317,740928,2016,Tons ,,-681228,100000,8440,612009,610950,0,610950,2015,Million Cubic Ft,,-603569,198000000,32584,137000,370157,32332,337825,2016,Barrels,,-104416
Hong Kong,1.32209E+12,0.23%,180951,97%,67%,9%,20%,3%,47066386,1.23%,7243542,6.5,0.13%,0,0,12303073,12303073,0,12303073,2016,Tons ,,-12303073,0,0,114527,114527,0,114527,2015,Million Cubic Ft,,-114527,0,100,408491,0,0,,2016,Barrels,0,-408391
Greece,1.16172E+12,0.20%,109913,87%,54%,16%,17%,13%,67840662,-3.47%,10615185,6.39,0.19%,3170243560,35977194,38077094,343921,0,343921,2016,Tons ,,-2099901,35000,141,110818,111666,0,111666,2015,Million Cubic Ft,,-110677,10000000,15748,296101,472485,3141,469344,2016,Barrels,,-280353
Oman,1.14075E+12,0.20%,244485,100%,30%,69%,0%,0%,87835773,2.09%,4479219,19.61,0.25%,0,0,94990,94990,0,94990,2016,Tons ,,-94990,24910000,1335613,774105,70277,353150,,2015,Million Cubic Ft,282873,561509,5306000000,1015512,183000,0,887500,,2016,Barrels,887500,832512
Portugal,1.07712E+12,0.18%,104691,82%,47%,22%,12%,18%,50142844,-2.36%,10325538,4.86,0.14%,39683160,0,5290177,5423748,0,5423748,2016,Tons ,,-5290177,0,0,168311,166440,0,166440,2015,Million Cubic Ft,,-168311,0,12932,236866,274442,0,274442,2016,Barrels,,-223934
Finland,1.22785E+12,0.21%,222785,52%,36%,7%,9%,48%,51183960,3.62%,5497713,9.31,0.14%,0,0,5310769,4305091,0,4305091,2016,Tons ,,-5310769,0,0,96269,95810,0,95810,2015,Million Cubic Ft,,-96269,0,12582,210030,226517,0,226517,2016,Barrels,,-197448
Peru,1.11852E+12,0.19%,35572,74%,45%,28%,1%,26%,57692879,8.16%,30926032,1.87,0.16%,112435620,493173,1267657,645315,148047,497268,2016,Tons ,,-774483,15047000,611656,275104,0,170571,,2015,Million Cubic Ft,170571,336552,682681000,141448,246000,107686,3471,104215,2016,Barrels,,-104552
Switzerland,1.17175E+12,0.20%,138573,51%,39%,11%,0%,49%,39666930,-2.30%,8379917,4.73,0.11%,0,0,199518,199394,0,199394,2016,Tons ,,-199518,0,0,123920,123037,0,123037,2015,Million Cubic Ft,,-123920,0,1496,228194,59041,322,58719,2016,Barrels,,-226698
Nigeria,1.54026E+12,0.26%,8070,97%,55%,41%,0%,3%,82634214,0.70%,185960241,0.44,0.23%,379194640,50706,193330,469315,0,469315,2016,Tons ,,-142623,180490000,3009650,664628,0,929844,,2015,Million Cubic Ft,929844,2345022,37070000000,1938543,428000,0,1654739,,2016,Barrels,1654739,1510543
Austria,1.50163E+12,0.26%,170255,66%,37%,23%,6%,34%,73764112,1.54%,8747301,8.43,0.21%,0,0,3886745,3775836,0,3775836,2016,Tons ,,-3886745,301000,44603,295622,405381,190948,214433,2015,Million Cubic Ft,,-251019,45400000,29415,262352,147702,0,147702,2016,Barrels,,-232937
Chile,1.49614E+12,0.26%,81002,79%,48%,13%,19%,21%,81258525,5.33%,18209068,4.46,0.23%,1301828110,2783333,14077601,12925238,959500,11965738,2016,Tons ,,-11294268,3460000,38564,155103,131619,0,131619,2015,Million Cubic Ft,,-116540,150000000,12858,351989,157867,0,157867,2016,Barrels,,-339131
Romania,1.4114E+12,0.24%,71812,75%,30%,29%,15%,25%,78770824,1.69%,19796285,3.98,0.22%,320772210,25344312,26886239,1115001,14598,1100403,2016,Tons ,,-1541927,3725000,402591,387406,6004,0,6004,2015,Million Cubic Ft,,15185,600000000,96470,200000,149365,937,148428,2016,Barrels,,-103530
Bangladesh,1.41736E+12,0.24%,8876,99%,19%,77%,4%,1%,74476230,4.50%,157977153,0.47,0.21%,322976830,995386,2099900,3128923,0,3128923,2016,Tons ,,-1104514,8500000,948609,948609,0,0,,2015,Million Cubic Ft,0,0,28000000,4105,113000,23554,0,23554,2016,Barrels,,-108895
Uzbekistan,1.79825E+12,0.31%,56266,96%,6%,86%,4%,4%,109347340,1.60%,31441751,3.48,0.31%,1515676250,4793946,4770798,49605,60,49545,2016,Tons ,,23149,65000000,2037676,1700417,0,266628,,2015,Million Cubic Ft,266628,337258,594000000,71471,49000,3678,0,3678,2016,Barrels,,22471
Colombia,1.66078E+12,0.29%,33956,72%,41%,20%,11%,28%,77667594,-0.84%,48175052,1.61,0.22%,5380375110,99772271,11385457,454,91881474,,2016,Tons ,91881020,88386814,5508000,979285,406476,0,14126,,2015,Million Cubic Ft,14126,572809,2308000000,911892,357000,27118,744525,,2016,Barrels,717407,554892
Czech Republic (Czechia),1.75129E+12,0.30%,164579,81%,25%,18%,38%,19%,111825428,1.39%,10618857,10.53,0.31%,4012408400,49949032,49418772,4077420,4815997,,2016,Tons ,738577,530261,140000,8723,277858,263944,0,263944,2015,Million Cubic Ft,,-269136,15000000,15586,179956,107227,564,106663,2016,Barrels,,-164370
Kuwait,1.59101E+12,0.27%,392251,100%,49%,50%,0%,0%,101492225,1.36%,3956875,25.65,0.28%,0,0,387109,387109,0,387109,2016,Tons ,,-387109,63500000,604981,738401,141260,0,141260,2015,Million Cubic Ft,,-133420,1.015E+11,2990544,359000,0,2128190,,2016,Barrels,2128190,2631544
Turkmenistan,1.74751E+12,0.30%,303509,100%,17%,83%,0%,0%,79279216,0.63%,5662368,14,0.22%,0,0,0,0,0,,2016,Tons ,,0,265000000,2910380,1407727,0,1423195,,2015,Million Cubic Ft,1423195,1502653,600000000,266427,149000,0,68857,,2016,Barrels,68857,117427
Venezuela,2.49257E+12,0.43%,84774,76%,39%,37%,0%,24%,175884256,-1.90%,29851255,5.89,0.49%,805788610,825630,180696,36935,639340,,2016,Tons ,602404,644934,197087000,2832122,935953,17658,0,17658,2015,Million Cubic Ft,,1896168,2.99953E+11,2355424,598000,0,1725049,,2016,Barrels,1725049,1757424
Sweden,2.21871E+12,0.38%,224001,34%,30%,1%,3%,66%,44694415,4.33%,9836007,4.54,0.13%,1102310,0,2857191,3349995,0,3349995,2016,Tons ,,-2857191,0,0,34044,28676,0,28676,2015,Million Cubic Ft,,-34044,0,12411,322109,396510,0,396510,2016,Barrels,,-309698
Qatar,2.1595E+12,0.37%,792557,100%,27%,72%,0%,0%,98990085,1.79%,2654374,37.29,0.28%,0,0,0,0,0,,2016,Tons ,,0,871585000,6000937,1418356,0,4375175,,2015,Million Cubic Ft,4375175,4582580,25244000000,1987193,172000,0,503415,,2016,Barrels,503415,1815193
Iraq,1.86589E+12,0.32%,49687,97%,92%,5%,0%,3%,162646160,1.22%,36610632,4.44,0.45%,0,0,0,0,0,,2016,Tons ,,0,111522000,885029,35386,0,0,,2015,Million Cubic Ft,0,849644,1.43069E+11,4443457,857000,1,3576637,,2016,Barrels,3576636,3586457
Philippines,1.83213E+12,0.31%,17420,88%,47%,6%,36%,12%,126922662,12.37%,103663816,1.22,0.35%,348329960,13323621,22372484,22079269,7533187,14546083,2016,Tons ,,-9048863,3480000,108770,91819,0,0,,2015,Million Cubic Ft,0,16951,138500000,33258,429000,236907,14774,222133,2016,Barrels,,-395742
Algeria,2.39845E+12,0.41%,57949,99%,35%,65%,0%,1%,156220560,0.17%,40551392,3.85,0.44%,65036290,0,27321,27321,0,27321,2016,Tons ,,-27321,159054000,6491745,1399216,0,1533342,,2015,Million Cubic Ft,1533342,5092529,12200000000,1698786,429000,139,633800,,2016,Barrels,633661,1269786
Belgium,2.68469E+12,0.46%,235091,78%,51%,23%,4%,22%,94722813,1.53%,11354420,8.34,0.26%,0,0,4035557,3872415,72752,3799663,2016,Tons ,,-4035557,0,0,605158,664381,59824,604557,2015,Million Cubic Ft,,-605158,0,24423,631522,641794,0,641794,2016,Barrels,,-607099
Norway,1.90137E+12,0.33%,358999,32%,23%,8%,1%,68%,43456012,0.85%,5250949,8.28,0.12%,1102310,901690,824528,727525,1005307,,2016,Tons ,277782,77162,72358000,5763408,184697,0,3954221,,2015,Million Cubic Ft,3954221,5578711,5138767000,2003748,204090,9927,1394501,,2016,Barrels,1384574,1799657
